episode,reward,win,win_rate,epsilon,steps,td_error_mean,q_table_states
1,-83.41,0,0.0,0.9995,8,10.71375,8
2,-10.75,0,0.0,0.9990002500000001,160,0.0930205625180388,110
3,107.25,1,0.3333333333333333,0.9985007498750001,5,21.442100000560284,113
4,-84.19,0,0.25,0.9980014995000627,7,12.272933570851704,117
5,-127.99000000000001,0,0.2,0.9975024987503127,47,2.933470638278634,160
6,-83.01,0,0.16666666666666666,0.9970037475009376,93,0.9640106436220168,217
7,-82.61,0,0.14285714285714285,0.9965052456271871,128,0.7194450790993869,297
8,-83.89,0,0.125,0.9960069930043736,7,10.470031933236335,301
9,-83.96,0,0.1111111111111111,0.9955089895078715,18,4.83938388886758,315
10,107.61999999999999,1,0.2,0.9950112350131176,4,26.915,318
11,-82.75999999999999,0,0.18181818181818182,0.9945137293956111,113,0.7986118613829036,371
12,-84.31,0,0.16666666666666666,0.9940164725309134,118,0.7556688407315922,401
13,106.67,1,0.23076923076923078,0.993519464294648,14,7.669538942982576,410
14,-124.14,0,0.21428571428571427,0.9930227045625007,37,3.746676405260994,439
15,-3.5,0,0.2,0.9925261932102195,160,0.22806587494292763,562
16,-84.78,0,0.1875,0.9920299301136144,149,0.6026628391022151,601
17,-83.04,0,0.17647058823529413,0.9915339151485576,12,7.30322541643555,610
18,-79.3,0,0.16666666666666666,0.9910381481909833,80,1.1730703939322265,658
19,-9.950000000000001,0,0.15789473684210525,0.990542629116888,160,0.08850905198317197,701
20,-84.64,0,0.15,0.9900473578023296,12,7.176041666680637,709
21,-8.75,0,0.14285714285714285,0.9895523341234285,160,0.204737203141558,833
22,106.62,1,0.18181818181818182,0.9890575579563669,4,26.646409186772072,834
23,-83.67999999999999,0,0.17391304347826086,0.9885630291773887,109,0.8214005634664145,882
24,-130.01999999999998,0,0.16666666666666666,0.9880687476628001,21,6.28928567530942,896
25,-9.05,0,0.16,0.9875747132889687,160,0.12783057238310902,949
26,-10.3,0,0.15384615384615385,0.9870809259323243,160,0.09161451773794034,972
27,-84.14,0,0.14814814814814814,0.9865873854693582,22,4.0172668977378105,990
28,-9.65,0,0.14285714285714285,0.9860940917766235,160,0.0885973118550901,1023
29,-10.7,0,0.13793103448275862,0.9856010447307353,160,0.08965253661616862,1028
30,-127.34,0,0.13333333333333333,0.98510824420837,22,6.809362561913546,1040
31,-84.08,0,0.12903225806451613,0.9846156900862658,129,0.7025007264930906,1063
32,-127.53,0,0.125,0.9841233822412228,29,4.638008922271688,1079
33,-11.100000000000001,0,0.12121212121212122,0.9836313205501022,160,0.07776010224598986,1088
34,-77.86,0,0.11764705882352941,0.9831395048898272,63,1.5369017154380444,1124
35,-82.84,0,0.11428571428571428,0.9826479351373822,22,3.99781645715914,1136
36,-11.100000000000001,0,0.1111111111111111,0.9821566111698136,160,0.0906827673099324,1141
37,-129.32,0,0.10810810810810811,0.9816655328642288,16,8.240302538092948,1153
38,-84.19,0,0.10526315789473684,0.9811747000977967,7,17.03669581938003,1154
39,-83.22,0,0.10256410256410256,0.9806841127477479,46,1.8975541467537962,1176
40,106.13,1,0.125,0.9801937706913741,121,1.0048403498121876,1247
41,-11.85,0,0.12195121951219512,0.9797036738060285,160,0.15052847855447907,1259
42,-82.18,0,0.11904761904761904,0.9792138219691255,44,2.0984426335685633,1277
43,-10.850000000000001,0,0.11627906976744186,0.978724215058141,160,0.0858203139389034,1291
44,-78.61,0,0.11363636363636363,0.978234852950612,58,1.6637526558738218,1315
45,-130.17000000000002,0,0.1111111111111111,0.9777457355241367,16,8.211664363383898,1327
46,-10.7,0,0.10869565217391304,0.9772568626563747,160,0.08545945644003745,1331
47,-82.07,0,0.10638297872340426,0.9767682342250465,66,1.4427422617737091,1369
48,-10.6,0,0.10416666666666667,0.976279850107934,160,0.09120919941741727,1379
49,-10.700000000000001,0,0.10204081632653061,0.9757917101828801,160,0.0891361345524731,1411
50,-75.19,0,0.1,0.9753038143277888,82,1.253054688961427,1455
51,107.77,1,0.11764705882352941,0.974816162420625,19,5.729573657416592,1466
52,-10.1,0,0.11538461538461539,0.9743287543394147,160,0.0922194692384942,1504
53,-84.36,0,0.11320754716981132,0.973841589962245,13,6.5736581624872406,1510
54,-84.72,0,0.1111111111111111,0.973354669167264,11,7.824762968559411,1515
55,-83.65,0,0.10909090909090909,0.9728679918326804,70,1.3366124468701226,1561
56,-84.67,0,0.10714285714285714,0.972381557836764,11,7.833913619401441,1565
57,-84.08999999999999,0,0.10526315789473684,0.9718953670578457,7,12.274421144562906,1565
58,-83.9,0,0.10344827586206896,0.9714094193743169,5,17.21766099859774,1567
59,-84.29,0,0.1016949152542373,0.9709237146646298,22,3.9927541598523124,1579
60,-9.45,0,0.1,0.9704382528072976,160,0.10483922801021708,1597
61,-10.55,0,0.09836065573770492,0.9699530336808939,160,0.12330205920103617,1645
62,-84.19,0,0.0967741935483871,0.9694680571640535,7,8.865521284840735,1645
